          Zone             Team                Brand                       Product_Name       All Regions  10-Feb-26
1279     South        ACHIEVERS                 VONZ                  Vonz Tab 10mg 30s           Larkana       2.00
1280     South        ACHIEVERS                 VONZ                  Vonz Tab 10mg 30s         Nawabshah       1.00
1283     South        ACHIEVERS                 VONZ            Vonz Tab 10mg 30s Total               All      22.00
1284     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s              DADU       1.00
1285     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s         Hyderabad       5.00
1286     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s         Jacobabad       2.00
1290     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s           Larkana       3.00
1292     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s         Nawabshah      10.00
1295     South        ACHIEVERS                 VONZ            Vonz Tab 20mg 30s Total               All      21.00
1296     South        ACHIEVERS           VONZ Total                                All               All      43.00
1297     South  ACHIEVERS Total                  All                                All               All     429.00
