          Zone             Team                Brand                       Product_Name       All Regions  9-Feb-26
1245     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml        Karachi-II        22
1246     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml           Larkana        23
1247     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml      Mir Pur Khas        27
1250     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml            Sukkur         2
1251     South        ACHIEVERS           VITAGLOBIN       VITAGLOBIN Syrup 120ml Total               All        96
1254     South        ACHIEVERS           VITAGLOBIN                Vitaglobin Plus Syp         Jacobabad         5
1256     South        ACHIEVERS           VITAGLOBIN                Vitaglobin Plus Syp          Khairpur         1
1257     South        ACHIEVERS           VITAGLOBIN                Vitaglobin Plus Syp           Larkana         6
1259     South        ACHIEVERS           VITAGLOBIN                Vitaglobin Plus Syp         Nawabshah         1
1261     South        ACHIEVERS           VITAGLOBIN          Vitaglobin Plus Syp Total               All        11
1262     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.              DADU        31
1264     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.         Jacobabad       100
1265     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.         Karachi-I        14
1267     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.          Khairpur         2
1268     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.           Larkana        11
1269     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.      Mir Pur Khas        16
1270     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.         Nawabshah         5
1272     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.            Sukkur        10
1273     South        ACHIEVERS           VITAGLOBIN              Vitaglobin Syp. Total               All       188
1274     South        ACHIEVERS     VITAGLOBIN Total                                All               All       295
1276     South        ACHIEVERS                 VONZ                  Vonz Tab 10mg 30s         Jacobabad         2
1279     South        ACHIEVERS                 VONZ                  Vonz Tab 10mg 30s           Larkana         2
1280     South        ACHIEVERS                 VONZ                  Vonz Tab 10mg 30s         Nawabshah         3
1282     South        ACHIEVERS                 VONZ                  Vonz Tab 10mg 30s            Sukkur         3
1283     South        ACHIEVERS                 VONZ            Vonz Tab 10mg 30s Total               All        10
1285     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s         Hyderabad         3
1286     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s         Jacobabad         2
1287     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s         Karachi-I         4
1288     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s        Karachi-II         5
1290     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s           Larkana         5
1292     South        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s         Nawabshah         3
1295     South        ACHIEVERS                 VONZ            Vonz Tab 20mg 30s Total               All        22
1296     South        ACHIEVERS           VONZ Total                                All               All        32
1297     South  ACHIEVERS Total                  All                                All               All       562
